Date,Close,Volume,Inflation,Unemployment,GDP_Growth_Rate,GDP,Interest_rate,CPI
4/1/1993,435.380005,201210000,2.370339592,6.9,2.751781051,6.86E+12,3.545617239,2.951656966
5/1/1993,434.339996,240350000,2.370339592,6.9,2.751781051,6.86E+12,3.545617239,2.951656966
6/1/1993,434.519989,295240000,2.370339592,6.9,2.751781051,6.86E+12,3.545617239,2.951656966
7/1/1993,430.730011,304850000,2.370339592,6.9,2.751781051,6.86E+12,3.545617239,2.951656966
8/1/1993,429.049988,263470000,2.370339592,6.9,2.751781051,6.86E+12,3.545617239,2.951656966
11/1/1993,430.950012,217150000,2.370339592,6.9,2.751781051,6.86E+12,3.545617239,2.951656966
12/1/1993,431.040009,239410000,2.370339592,6.9,2.751781051,6.86E+12,3.545617239,2.951656966
13-01-1993,433.029999,245360000,2.370339592,6.9,2.751781051,6.86E+12,3.545617239,2.951656966
14-01-1993,435.940002,281040000,2.370339592,6.9,2.751781051,6.86E+12,3.545617239,2.951656966
15-01-1993,437.149994,309720000,2.370339592,6.9,2.751781051,6.86E+12,3.545617239,2.951656966
18-01-1993,436.839996,196030000,2.370339592,6.9,2.751781051,6.86E+12,3.545617239,2.951656966
19-01-1993,435.130005,283240000,2.370339592,6.9,2.751781051,6.86E+12,3.545617239,2.951656966
20-01-1993,433.369995,268790000,2.370339592,6.9,2.751781051,6.86E+12,3.545617239,2.951656966
21-01-1993,435.48999,257620000,2.370339592,6.9,2.751781051,6.86E+12,3.545617239,2.951656966
22-01-1993,436.109985,293320000,2.370339592,6.9,2.751781051,6.86E+12,3.545617239,2.951656966
25-01-1993,440.01001,288740000,2.370339592,6.9,2.751781051,6.86E+12,3.545617239,2.951656966
26-01-1993,439.950012,314110000,2.370339592,6.9,2.751781051,6.86E+12,3.545617239,2.951656966
27-01-1993,438.109985,277020000,2.370339592,6.9,2.751781051,6.86E+12,3.545617239,2.951656966
28-01-1993,438.660004,256980000,2.370339592,6.9,2.751781051,6.86E+12,3.545617239,2.951656966
29-01-1993,438.779999,247200000,2.370339592,6.9,2.751781051,6.86E+12,3.545617239,2.951656966
1/2/1993,442.519989,238570000,2.370339592,6.9,2.751781051,6.86E+12,3.545617239,2.951656966
2/2/1993,442.549988,271560000,2.370339592,6.9,2.751781051,6.86E+12,3.545617239,2.951656966
3/2/1993,447.200012,345410000,2.370339592,6.9,2.751781051,6.86E+12,3.545617239,2.951656966
4/2/1993,449.559998,351140000,2.370339592,6.9,2.751781051,6.86E+12,3.545617239,2.951656966
5/2/1993,448.929993,324710000,2.370339592,6.9,2.751781051,6.86E+12,3.545617239,2.951656966
8/2/1993,447.850006,243400000,2.370339592,6.9,2.751781051,6.86E+12,3.545617239,2.951656966
9/2/1993,445.329987,240410000,2.370339592,6.9,2.751781051,6.86E+12,3.545617239,2.951656966
10/2/1993,446.230011,251910000,2.370339592,6.9,2.751781051,6.86E+12,3.545617239,2.951656966
11/2/1993,447.660004,257190000,2.370339592,6.9,2.751781051,6.86E+12,3.545617239,2.951656966
12/2/1993,444.579987,216810000,2.370339592,6.9,2.751781051,6.86E+12,3.545617239,2.951656966
16-02-1993,433.910004,332850000,2.370339592,6.9,2.751781051,6.86E+12,3.545617239,2.951656966
17-02-1993,433.299988,302210000,2.370339592,6.9,2.751781051,6.86E+12,3.545617239,2.951656966
18-02-1993,431.899994,311180000,2.370339592,6.9,2.751781051,6.86E+12,3.545617239,2.951656966
19-02-1993,434.220001,310700000,2.370339592,6.9,2.751781051,6.86E+12,3.545617239,2.951656966
22-02-1993,435.23999,311570000,2.370339592,6.9,2.751781051,6.86E+12,3.545617239,2.951656966
